id,name,winRate,level,ownedHeroes
d397209b-d3ea-4099-bedd-a244b0466cb1,Applejack,91.7548113368309,6,64b2ca73-0fde-44bc-9bdf-9130f0856b36|0d7fd37f-54ab-437e-8129-a4272a21ee2e|baaef883-5f80-4553-9246-e84183bac951
5d9126f8-9f3f-4c8b-95d0-254d3a837371,Pinkie Pie,53.31307826221261,9,6c1b1021-3444-43eb-9420-85f460bf19c2|e1c9e161-bdba-4aee-97d8-ad12dfc33efc|baaef883-5f80-4553-9246-e84183bac951
d5ee5510-a791-49cb-aed6-7752683ce4c7,Berry Punch,16.767024779901398,14,baaef883-5f80-4553-9246-e84183bac951|9115108d-fa85-4519-bc96-96450c84ead5|436c6239-a04d-4bbd-afca-2cc5b44a4784
ddda443f-83e9-4d4a-8d26-e0d59652a25d,Coco Pommel,19.83848650343599,24,9115108d-fa85-4519-bc96-96450c84ead5|5477d78e-569c-4863-84c6-29644905fb2d|22597ac7-3900-40b9-b8df-d19302c1de84
3ca4ae90-0c8f-4024-9778-7dd8e9ad628c,Bon Bon,31.776550264888613,15,0ae18a0d-1516-43ac-926a-e750fb4e4300|5477d78e-569c-4863-84c6-29644905fb2d|2f3bf29f-e2ff-46ec-b098-dd3f3f80cc92
2fa4c4ce-4c8c-40d5-94d8-c454748560f4,Rainbow Dash,96.27974103025717,19,5477d78e-569c-4863-84c6-29644905fb2d|22597ac7-3900-40b9-b8df-d19302c1de84|0d7fd37f-54ab-437e-8129-a4272a21ee2e
66e038d6-3510-4522-af1f-c20a97070cbf,Fluttershy,62.92186973840671,1,22597ac7-3900-40b9-b8df-d19302c1de84|2f3bf29f-e2ff-46ec-b098-dd3f3f80cc92|8a431fd5-7dba-429a-b353-1befcd3280c2
c8ae3e97-d682-4d07-94be-4150ad087874,Spitfire,97.40895514853928,25,64b2ca73-0fde-44bc-9bdf-9130f0856b36|9115108d-fa85-4519-bc96-96450c84ead5|0d7fd37f-54ab-437e-8129-a4272a21ee2e
10eb3d25-be61-4683-b7ce-e35f41aa9226,Derpy,57.01529099859538,28,6c1b1021-3444-43eb-9420-85f460bf19c2|436c6239-a04d-4bbd-afca-2cc5b44a4784|8a431fd5-7dba-429a-b353-1befcd3280c2
916286f6-a156-4885-99f4-ba587b7b84db,Vapor Trail,68.24416675975813,25,5477d78e-569c-4863-84c6-29644905fb2d|6c1b1021-3444-43eb-9420-85f460bf19c2|e1c9e161-bdba-4aee-97d8-ad12dfc33efc
14278dfc-a135-41d1-9a71-f13f13f669a7,Rarity,55.785068097098,12,22597ac7-3900-40b9-b8df-d19302c1de84|0d7fd37f-54ab-437e-8129-a4272a21ee2e|64b2ca73-0fde-44bc-9bdf-9130f0856b36
6a1136b8-7078-46b8-bef1-49a13602d93c,Starlight Glimmer,35.46558758343116,3,23cdb22e-2b3b-47e8-8a84-e8e671464902|2f3bf29f-e2ff-46ec-b098-dd3f3f80cc92|0ae18a0d-1516-43ac-926a-e750fb4e4300
068f17ed-ee53-4c22-9d17-adb4c8455fa8,Sunset Shimmer,95.01469617937582,28,64b2ca73-0fde-44bc-9bdf-9130f0856b36|5a292973-4423-4e54-b0ad-482bb88f7b96|23cdb22e-2b3b-47e8-8a84-e8e671464902
b8b24ebc-513d-4e59-b7dd-6bd9573c1306,Lyra Heartstrings,30.47553583566951,7,8a431fd5-7dba-429a-b353-1befcd3280c2|9115108d-fa85-4519-bc96-96450c84ead5|e1c9e161-bdba-4aee-97d8-ad12dfc33efc
f814809f-f631-4649-9604-326d9da81f99,Minuette,19.684228913438883,9,0ae18a0d-1516-43ac-926a-e750fb4e4300|23cdb22e-2b3b-47e8-8a84-e8e671464902|baaef883-5f80-4553-9246-e84183bac951
