id,name,usageCount,winRate,averageRating,wins
e4cc3392-3246-4e06-a8ad-135f69f4f0b6,Boomerang,8,0.375,1.737539653522389,3
b5fa8906-d294-4a29-bf54-97fabcb5d5d9,Bombs,13,0.3076923076923077,2.395414942772969,4
e5e025f9-ec6a-48d8-97fb-5526a937fe25,The Wind Waker,2,0.5,1.7680360211731605,1
19f21231-da98-40f6-a346-2d26928e9a35,The Minish Cap,1,0.0,3.9700784568095386,0
dc4260ec-2adc-4d88-b5a1-3ef2752f2c0b,Ocarina of Time,4,0.5,3.733914124817881,2
75287be5-30a2-4ca4-9e4c-fbef18a9de4e,Majora's Mask,1,0.0,2.8056545830050736,0
429254ba-c5fe-4796-bcf2-e47f3262b3bc,Bow and Arrows,5,0.2,2.5303247926319243,1
9a5abfe0-df57-4311-99c4-ed5451beb366,Triforce of Courage,0,0.0,3.0326024595117445,0
77bbae04-d962-4788-a062-93714a173389,Iron Boots,7,0.42857142857142855,3.437103378393234,3
e00ce2a4-55fc-4ae9-88f6-49c69d9fba49,Grappling Hook,4,0.5,4.507226512330525,2
8aa0e8b2-874b-4f44-9506-f89f9bd2574d,Triforce of Power,2,0.5,2.822439683466452,1
b4ddc727-18fd-4f08-a202-8e2509c6a677,Mirror Shield,11,0.36363636363636365,3.8980624169034437,4
d8a69733-14be-4445-918e-7d212930b34f,Empty Bottle,0,0.0,4.853554195904325,0
2011d8f9-48bd-475c-99f2-65b9354c66b5,Paraglider,9,0.4444444444444444,1.316954576305136,4
72985727-7d3b-4e96-aa82-88b782173732,Hylian Shield,0,0.0,4.684911722662023,0
71bf983b-7bfc-4196-aa0a-68f3cec3efbd,Hookshot,3,0.3333333333333333,2.4637166282777105,1
06b4b68e-f5ba-4b78-83b1-e09654d16a48,Sheikah Slate,5,0.4,3.2214130246231356,2
e5a095e8-84b4-49dc-94e0-a497db6e6eff,Lens of Truth,0,0.0,2.961352286212664,0
b5a719de-8313-46b0-a952-8ab2463e2d07,Triforce of Wisdom,0,0.0,1.5981478317941922,0
d1496be2-19b2-4e6b-aac1-1df8724b0f87,The Master Sword,5,0.4,2.2017096956974522,2
